Fecha,Año,País,Estado,Sexo,Edad,Provocado,Fatal,Hora_limpia,Momento_día,Especie_grupo,Herida
,2025,Turks and Caicos,Near five Cays settlement West Caicos,F,55,,False,,,Toro,both hands bitten off and a bite to left thigh
,2025,Australia,Queensland,F,17,,True,16,Tarde,Toro,Bites to arm and upper body
,2025,Australia,Western Australia,M,12,,False,17,Tarde,,Minor bite to lower body
,2025,Australia,Western Australia,M,37,,False,16,Tarde,,None - chunk of surfboard  bitten out
,2025,Mozambique,Inhambane Province,M,36,,True,13,Tarde,,"Legs, buttocks and stomach "
,2025,USA,Hawaii,M,23,,False,13,Tarde,,Bitten on the arm
,2025,New Caledonia,Grande Terre,M,40,,True,16,Tarde,Toro,Severe arm injury and delay in medical treatment caused victim to die 
,2025,Australia,South Australia,M,28,,True,17,Tarde,Blanco,Body not recovered
,2024,Mozambique,?,M,,,True,,,,Diving for sea urchins attacked by shark injuries not specified
,2024,Egypt,North of Marsa Alam,M,69,,False,,,Tigre,Injuries to stomach preventing attack on friend
,2024,Egypt,North of Marsa Alam,M,48,,True,,,Tigre,Entire calf muscle removed and bitten both arms and legs
,2024,Australia,Queensland,M,40,,True,16,Tarde,,Life threatening injuries to neck and arm
,2024,Australia,Queensland,M,,,False,,,,Not stated but reported as minor injuries both arms
,2024,Australia,Western Australia,M,,,False,,,,Not stated minor injuries 
,2024,Thailand,Phang Nga Province,F,57,,False,,,,Minor to  moderate injuries both legs
,2024,New Zealand,Bay of Waitangi,M,24,,True,,,Blanco,Not stated but injuries fatal
,2024,Maldives,Kaafu,F,45,,False,,,,Not stated but reported as minor injuries
,2024,Hawaii,Maui,M,61,,False,,,,Right leg severted below knee
,2024,Australia,Queensland,F,57,,False,16,Tarde,Tigre,30cm (1ft) bite to lower calf 
,2024,USA,Florida,M,27,,False,,,,Both feet bitten
,2024,Honduras,Tela,M,38,,False,,,Toro,Back and thigh extensive tissue loss
,2024,USA,Florida,M,16,,False,,,Toro,Bite to left arm
,2024,Indonesia,Timor Leste,F,68,,True,,,Tigre,Found inside shark
,2024,Honduras,Trujillo Colon,M,33,,False,,,Toro,Bite to left leg
,2024,Morocco,Southern Morocco,F,30,,True,16,Tarde,Blanco,Leg severed
,2024,Jamaica,Montego Bay,M,16,,True,,,Tigre,Head right arm and leg severed
,2024,Belize,Gulf of Honduras,F,15,,False,11,Mañana,,Right lower leg amputated after serious bite
,2024,Australia,NSW,M,23,,False,11,Mañana,Blanco,Serious injury to leg
,2024,Australia,Western Australia,M,41,,False,17,Tarde,,Minor injury to lower left leg
,2024,USA,Florida,M,14,,False,11,Mañana,,Lower left leg injury
,2024,Australia,Western Australia,M,43,,False,11,Mañana,,Not specified 
,2024,USA,Florida,M,26,,False,16,Tarde,,Minor injury to left foot
,2024,USA,Texas,F,,,False,,,Toro,Bite to left leg calf muscle removed
,2026,USA,Texas,F,18,,False,,,,Minor cuts to calf
,2025,USA,Texas,F,18,,False,,,,Superficial wounds to leg
,2024,USA,Floria,M,21,,False,11,Mañana,,Minor injury to right foot four tendons ruptured
,2024,USA,Florida,M,,,False,11,Mañana,,Bite to left leg  
,2024,USA,Hawaii,M,49,,,12,Tarde,,Not specific shark bite injuries to the body
,2024,USA,Hawaii,F,25,,False,14,Tarde,,Multiple serious lacerations to the body
,2024,USA,Florida,F,15,,False,15,Tarde,Toro,Left hand bitten off and right leg bitten
,2024,USA,Florida,F,45,,False,13,Tarde,Toro,Significant injuries to pelvic and abdominal region lower left arm amputated
,2024,USA,California,M,46,,False,,,,Significant bites to torso left arm and hand
,2024,Maldive Islands,Maahvah Laamu Atoll,M,23,,True,13,Tarde,,Wounds to lower extremities Fatal
,2024,USA,Galveston,F,19,,False,,,,Bitten on left hand by 4-5ft shark
,2024,Turks and Caicos,Providenciales Island,M,27,,False,15,Tarde,,Major damage to right leg later amputated lower left leg left hand and forearm
,2024,French Polynesia,Gambier Islands,M,20,,False,,,,Bite left forearm several ripped tendons severed nerves deep muscle wounds
,2024,USA,South Carolina,M,65,,False,13,Tarde,,Bitten on left arm
,2024,Tobago,Graet Courland Bay,M,64,,False,,,Toro,Bite wounds to left arm and leg wounds to abdomen and left hand
,2024,Bahamas,Clarence Town Long Isand,M,24,,False,,,,Bitten on left leg puncture wounds to kneecap
,2024,Australia,South Australia,M,16,,False,13,Tarde,Blanco,Minor bite to left leg
,2024,Australia,Western Australia,M,26,,False,12,Tarde,,Minor injuries left foot
,2024,Maldive Islands,Nunu Atoll,M,,,False,,,,Minor injury to left leg
2024-03-15,2024,AUSTRALIA,Queensland,F,13,,False,16,Tarde,Tigre,"Minor injuries to back, abdomen and legs"
2024-03-04,2024,USA,Hawaii,M,,,False,,,Tigre,"No injury, shark bit surfboard"
2024-03-02,2024,USA,Hawaii,F,11,,False,13,Tarde,,Lacerations to left foot
2024-02-25,2024,AUSTRALIA,Western Australia,F,46,,False,11,Mañana,Tigre,Leg bitten
2024-02-14,2024,INDIA,Maharashtra,M,32,,False,,,Toro,Calf of lower left leg injured
2024-02-04,2024,TRINIDAD,,M,,,False,6,Mañana,,Shoulder bitten
2024-01-29,2024,AUSTRALIA,New  South Wales,F,29,,False,20,Noche,Toro,Right leg bitten
2024-01-15,2024,BAHAMAS,Paradise Island,M,10,,False,16,Tarde,,Right leg injured 
2024-01-09,2024,AUSTRALIA,South Australia,M,64,,False,13,Tarde,Blanco,Leg bitten
2024-01-05,2024,SOUTH AFRICA,Eastern Cape Province,M,62,,False,,,,Provoked incident. Lacerations and puncture wounds to hand and calf from hooked shark 
2023-12-30,2023,USA,Hawaii,M,39,,True,11,Mañana,,FATAL
2023-12-29,2023,MEXICO,Sonora,M,22,,True,13,Tarde,Blanco,FATAL
2023-12-28,2023,AUSTRALIA,South Australia,M,15,,True,13,Tarde,Blanco,FATAL
2023-12-25,2023,AUSTRALIA,New South Wales,M,16,,False,16,Tarde,,Injury to right thigh
2023-12-24,2023,AUSTRALIA,Western Australia,M,46,,False,15,Tarde,,Puncture wounds to right ankle
2023-12-18,2023,NEW ZEALAND,South Island,F,21,,False,2,Madrugada,,Significant injury to leg
2023-12-14,2023,MEXICO,Guerrero,M,66,,True,9,Mañana,,FATAL
2023-12-14,2023,MEXICO,Guerrero,F,52,,False,,,,Injury to lower left leg
2023-12-08,2023,AUSTRALIA,Queensland,M,20,,False,16,Tarde,,Leg severely  injured
2023-12-04,2023,BAHAMAS,New Providence   Isoad,F,44,,True,11,Mañana,,FATAL
2023-12-02,2023,MEXICO,Jalisco,F,26,,True,,,,FATAL
2023-11-30,2023,AUSTRALIA,Queensland,M,21,,False,11,Mañana,Toro,Puncture wounds to right upper arm
2023-11-21,2023,BAHAMAS,Grand  Bahama Island,F,47,,True,10,Mañana,,FATAL
2023-11-10,2023,AUSTRALIA,South Australia,F,32,,False,13,Tarde,,Injuries to scalp and face
2023-11-05,2023,USA,Florida,M,66,,False,10,Mañana,,Lacerations to right forearm
2023-11-03,2023,AUSTRALIA,Westerm Australia,M,,,False,14,Tarde,,Minor injury
2023-11-02,2023,NEW ZEALAND,North Island,M,,,False,9,Mañana,Blanco,Minor injury. Wetsuit shredded
,2023,EGYPT,Southern Red Sea,M,66,,False,,,,No injury. No attack; the shark  simply head-butted him
2023-10-31,2023,AUSTRALIA,South Australia,M,55,,True,10,Mañana,Blanco,FATAL
2023-10-25,2023,USA,Hawaii,M,30,,False,15,Tarde,Tigre,Bite to right thigh
2023-10-23,2023,Mexico,Quintana Roo,M,59,,False,,,,Both arms injured
2023-10-21,2023,AUSTRALIA,Western Australia,M,,,False,17,Tarde,, Dinghy damaged by shark. No injurty to the 5 men onboard
2023-10-20,2023,BELIZE,Belize District,F,8,,False,,,,Foot injured
2023-10-15,2023,USA,Hawaii,M,50,,False,16,Tarde,Tigre,Left leg and hand injured
2023-10-13,2023,USA,California,M,52,,False,15,Tarde,,Minor linjury to left lower leg 
2023-10-02,2023,USA,Hawaii,F,45,,False,13,Tarde,,Minor injury. Shark bit surfboard
2023-10-01,2023,AUSTRALIA,South Australia,F,64,,False,7,Mañana,,Minor injury. Shark bit surfboard
2023-10-01,2023,USA,California,M,52,,True,10,Mañana,,Body not recovered
2023-09-18,2023,USA,South Carolina,M,,,False,16,Tarde,,Non-lifethreatening injuries
2023-09-13,2023,EGYPT,South Sinai,F,34,,False,,,Tigre,"Left arm severely bitten, surgically amputated"
2023-09-12,2023,USA,Florida,M,38,,False,7,Mañana,,Llacerations to face and chin
2023-09-11,2023,USA,Florida,M,,,False,,,,Bite to lower back
,2023,PHILIPPINES,Bolinao,M,,,,,,,Laceration to left thigh
,2023,Coral Sea,,M,,,False,1,Madrugada,,Catamaran severely damaged by sharks. No injurty to the 3 men onboard
2023-09-04,2023,USA,Florida,M,,,False,,,,Left hand bitten
2023-09-04,2023,USA,Florida,F,37,,False,,,,Right foot bitten
2023-08-25,2023,AUSTRALIA,New South Wales,M,44,,,10,Mañana,Blanco,Severe injuries to lower limbs
2023-08-23,2023,USA,North Carolina,NAN,9,,False,9,Mañana,,Minor injury to shoulder
2023-08-22,2023,USA,California,M,19,,False,13,Tarde,,"Shark bit kayak, no injury to occupant"
2023-08-21,2023,BAHAMAS,New Providence   Isoad,M,,,,,,,Body found with shark bites. Possible drowning. Cause of Death Unknown
2023-08-16,2023,SPAIN,Valencia,M,35,,False,,,,Minor lacerations to right foot
2023-08-16,2023,PORTUGAL,Norte,M,,,False,19,Noche,,Leg bitten
2023-08-12,2023,SAMOA,Savai'i island,M,,,True,,,,FATAL
2023-08-07,2023,USA,New York,F,65,,False,17,Tarde,,Laceration to left posterior thigh
2023-07-31,2023,USA,Florida,M,22,,False,9,Mañana,,Ankle injured
2023-07-30,2023,USA,Florida,M,22,,False,15,Tarde,,Lower leg bitten
2023-07-29,2023,USA,Florida,F,26,,False,20,Noche,,Superficial injuries to abomen and thighs
2023-07-24,2023,AUSTRALIA,Western Australia,M,,,False,8,Mañana,,Laceration to leg
2023-07-22,2023,AUSTRALIA,Western Australia,M,77,,False,,,,Lower left leg bitten
2023-07-21,2023,USA,South Carolina,M,60,,False,13,Tarde,,Right foot injured
2023-07-18,2023,COLOMBIA,San Andrés Island,M,38,,False,,,,"Lower right leg bittenLa Patria, 7/20/2023w"
2023-07-15,2023,USA,Florida,M,49,,False,14,Tarde,,Superficial injury to back
2023-07-14,2023,USA,Florida,M,21,,False,15,Tarde,,Severe injury to foot
,2023,SOUTH AFRICA,Eastern Cape Province,NAN,,,False,,,,"No injury to occupants, shark defated boat"
2023-07-04,2023,ECUADOR,Galapagos Islands,F,42,,False,,,,Serious injury to right leg
2023-07-04,2023,USA,New York,F,,,False,16,Tarde,,Puncture wounds to thigh
2023-07-04,2023,USA,New York,M,49,,False,13,Tarde,,Injury to right hand
2023-07-04,2023,USA,New York,M,47,,False,13,Tarde,,Laceration to right knee
2023-07-03,2023,USA,New York,M,15,,False,17,Tarde,,Injury to left heel and toes
2023-07-03,2023,USA,New York,F,15,,False,13,Tarde,Tigre,3 small puncture wounds to left leg
2023-06-23,2023,USA,Florida,F,,,False,,,,Multiple puncture wounds to right thigh
2023-06-23,2023,USA,Florida,M,,,False,10,Mañana,,Hand bitten
,2023,USA,Hawaii,M,,,False,,,Tigre,Sharks bit their inflatable boats
2023-06-08,2023,EGYPT,Red Sea Protectorate,M,24,,True,15,Tarde,Tigre,Fatal
2023-06-07,2023,BAHAMAS,Freeport,F,73,,,13,Tarde,,Calf severely bitten
2023-05-28,2023,FRENCH POLYNESIA,Tahiti,F,25,,False,14,Tarde,,Buttock bitten
2023-05-28,2023,NEW CALEDONIA,Poum,M,42,,True,11,Mañana,,"Fatal, bite to leg, shoulder and head"
2023-05-24,2023,TURKS and CaICOS,Providenciales Island,F,22,,False,15,Tarde,,Left foot severed
2023-05-24,2023,BAHAMAS,Lucayan Lucayan Archipelago,M,18,,True,,,,"Presumed fatal, body not recovered"
,2023,USA, Utah,F,26,,False,15,Tarde,,Bitten on hand minor injury
2023-05-21,2023,USA,New Jersey,F,15,,False,15,Tarde,,Lacerations to left foot and calf
2023-05-19,2023,USA,Florida,M,35,,False,20,Noche,,PROVOKED INCIDENT   Hooked shark bit his foot
2023-05-18,2023,USA,Florida,M,20,,False,15,Tarde,, 
2023-05-14,2023,USA,South Carolina,F,24,,False,17,Tarde,,Minor inuries to right knee
2023-05-13,2023,AUSTRALIA,South Australia,M,46,,True,10,Mañana,Blanco,FATAL
2023-05-11,2023,USA,Florida,F,13,,False,,,Toro,Multiple bites
2023-05-11,2023,USA,Hawaii,M,,,False,,,Tigre,"Shark bit kayak, no inury to occupant"
2023-05-09,2023,CUBA,Mayabeque,M,,,True,,,Toro,FATAL
2023-05-05,2023,USA,Florida,M,22,,False,11,Mañana,,Injury to lower leg
2023-05-03,2023,SOUTH AFRICA,Easten Cape Province,M,,,False,19,Noche,,Leg injured
2023-05-01,2023,SOUTH AFRICA,Easten Cape Province,M,39,,False,,,,Shoulder injured
2023-04-29,2023,AUSTRALIA,Western Australia,M,,,False,11,Mañana,,Minor injuries
2023-04-29,2023,AUSTRALIA,Western Australia,M,11,,False,15,Tarde,,Cuts to leg
2023-04-23,2023,USA,Florida,M,,,False,,,Toro,Minor injury to lower right leg
2023-04-22,2023,AUSTRALIA,Western Australia,M,30,,False,7,Mañana,,Bite to right arm
2023-04-11,2023,USA,Florida,F,,,False,15,Tarde,,Lacerations to leg
2023-04-09,2023,USA,Florida,M,,,False,7,Mañana,,"No injury, kayak damaged"
2023-04-09,2023,USA,Hawaii,M,58,,False,7,Mañana,Tigre,Injuries to right foot 
2023-03-25,2023,USA,Florida,M,67,,False,14,Tarde,,Lacertions to right calf
2023-03-25,2023,CUBA,Artemisa,M,17,,False,,,,Arm bitten
2023-03-22,2023,AUSTRALIA,Western Australia,M,,,False,18,Tarde,,Lower left leg and foot injured
2023-03-19,2023,USA,Hawaii,M,60,,False,12,Tarde,,Left hand and  left leg.
2023-03-17,2023,MEXICO,Quintana Roo,M,10,,False,,,,Significant  injury to leg 
2023-03-16,2023,AUSTRALIA,Western Australia,F,,,False,8,Mañana,,
2023-03-06,2023,BRAZIL,Pernambuco,F,15,,False,14,Tarde,,Left arm severly injured
2023-03-05,2023,BRAZIL,Pernambuco,M,14,,False,,,,Right thigh bitten resulting in surgical amputation
2023-03-02,2023,SEYCHELLES,Praslin Island,M,6,,,,,,Left foot bitten
2023-02-21,2023,BRAZIL,Pernambuco,M,32,,False,16,Tarde,,Injuries to left thih and calf
2023-02-19,2023,NEW CALEDONIA,South Province,M,59,,,16,Tarde,Toro,"FATAL, Multiple injuries"
2023-02-19,2023,USA,Florida,M,60,,False,17,Tarde,,Injury to lower leg
2023-02-18,2023,ARGENTINA,Patagonia,M,32,,,,,,Death by misadventure
2023-02-17,2023,FIJI,Taveuni Island,M,41,,False,7,Mañana,,Questionable
2023-02-04,2023,AUSTRALIA,Western Australia,F,16,,True,15,Tarde,Toro,Fatal
2023-01-30,2023,AUSTRALIA,Queensland,M,8,,False,,,,Minor injury to chest 
,2023,NEW CALEDONIA,South Province,M,49,,False,10,Mañana,Toro,"Hands, back and thigh inujured"
,2023,USA,Florida,M,34,,False,14,Tarde,,Lacerations to leg
2023-01-05,2023,MeXICO,Gulf of California,M,53,,True,11,Mañana,,Fatal
2023-01-01,2023,USA,Florida,M,30,,False,14,Tarde,,Knocked spear out of his hands and fin bitten
2023-01-01,2023,Maldives,Vaavu Atoll,F,30,,False,,,,Minor injury to shoulder and back
2022-12-30,2022,South Africa,KNZ,M,26,,False,9,Mañana,,Hamd bitten
2022-12-13,2022,USA,Hawaii,M,68,,False,8,Mañana,,"Lower left torso, defensive wounds to hands"
2022-12-11,2022,AUSTRALIA,New South ales,M,15,,False,16,Tarde,,Lower leg.h bitten
2022-12-09,2022,USA,Samoa,M,43,,False,12,Tarde,,Left leg bitten
2022-12-08,2022,USA,Hawaii,F,60,,True,12,Tarde,Tigre,Fatal attack
2022-12-07,2022,USA,Texas,M,,,False,,,,Foot bitten
2022-11-27,2022,USA,Florida,F,10,,False,,,,Foot bitten
2022-11-04,2022,USA,California,F,50,,False,10,Mañana,Blanco,Shallow punctures & lacerations to right thigh
2022-11-03,2022,USA,Florida,M,29,,False,15,Tarde,,Right knee & thigh bitten by hooked shark
2022-10-31,2022,USA,California,M,,,False,17,Tarde,,Minor inury from shark's fin
2022-10-28,2022,USA,Louisiana,M,40,,False,,,,Minor injuries to hands
2022-10-28,2022,BAHAMAS,,M,,,False,,,,Torso bitten
2022-10-27,2022,USA,Mississippi,M,,,False,,,,Minor injuries
2022-10-25,2022,USA,Hawaii,M,51,,False,,,Tigre,"No injury, swim fin bitten"
2022-10-23,2022,AUSTRALIA,South Australia,M,19,,False,11,Mañana,,"No injury, ski holed by shark"
2022-10-10,2022,USA,Florida,M,15,,False,,,,Minor injury to leg by hooked shark
2022-10-08,2022,USA,Louisiana,M,40,,False,,,,Hand bitten
2022-10-07,2022,AUSTRALIA,Western  Australia,M,38,,False,11,Mañana,Toro,"Multiple injuries to left shoulder, arm and hand"
2022-10-06,2022,AUSTRALIA,Victoria,M,17,,False,19,Noche,,Lacerations to foot
2022-10-02,2022,USA,California,M,31,,False,15,Tarde,Blanco,Thigh injured
2022-09-25,2022,SOUTH AFRICA,Western Cape Province,F,39,,True,7,Mañana,Blanco,FATAL
2022-09-22,2022,USA,Florida,M,26,,False,,,,Severe injuries to right arm
2022-09-06,2022,BAHAMAS,,F,58,,True,14,Tarde,Toro,FATAL
2022-09-03,2022,USA,Hawaii,F,51,,False,16,Tarde,,Injuries to left arm and right hand
2022-08-31,2022,AUSTRALIA,New South Wales,M,14,,False,7,Mañana,,Puncture wounds to right hand & forearm
2022-08-17,2022,AUSTRALIA,New South Wales,M,,,False,,,Blanco,"No injury, kayak bitten in half"
2022-08-15,2022,USA,South Carolina,F,,,False,11,Mañana,,Minor injury to leg
2022-08-15,2022,USA,South Carolina,F,,,False,12,Tarde,,Multiple lLacerations to right forearm
2022-08-15,2022,AUSTRALIA,Westerm Australia,M,17,,False,,,Blanco,Lacerations to lower legs
2022-08-13,2022,USA,Florida,M,10,,False,16,Tarde,Toro,"Lower left leg severely bitten, necessitating surgical amputation"
2022-08-10,2022,USA,California,M,,,False,11,Mañana,,"No injury, board bitten"
2022-07-28,2022,ENGLAND,Cornwall,F,,,False,12,Tarde,,Minor injury to leg
2022-07-27,2022,USA,Florida,M,13,,False,,,,Injury to upper lip
2022-07-25,2022,USA,Florida,M,33,,False,15,Tarde,,Minor bite to left  foot
2022-07-20,2022,USA,New York,M,16,,False,17,Tarde,,Four-inch cut to right foot
2022-07-19,2022,USA,Florida,NAN,,,False,10,Mañana,,minor injuries
2022-07-19,2022,USA,Noirth Carolina,F,,,False,,,,Lacerations to lower leg
2022-07-17,2022,USA,Florida,M,,,False,17,Tarde,,Fingrt bitten while releasing hooked shark PROVOKED INCUDEBT
2022-07-16,2022,USA,Florida,F,40,,False,13,Tarde,,Minor lacerations to left calf
2022-07-13,2022,USA,New York,M,49,,False,18,Tarde,,Left wrist and buttocks bitten
2022-07-13,2022,USA,New York,M,41,,False,7,Mañana,Tigre,Two-inch laceration to leg
2022-07-10,2022,USA,Florida,M,,,False,,,,Minor injury to foot
2022-07-07,2022,USA,New York,M,17,,False,,,,Minor injury to foot
2022-07-04,2022,JAPAN,Okinawa,M,60,,True,,,,FATAL
2022-07-03,2022,USA,Florida,M,28,,False,11,Mañana,,Foot bitten
2022-07-03,2022,USA,New York,M,,,False,10,Mañana,,Injuries to chest and right hand
2022-07-01,2022,INDONESIA,Bali,F,,,False,,,,Lacerations to foot
2022-07-01,2022,EGYPT,"Hurghada, Red Sea Governorate",F,,,True,,,Tigre,FATAL
2022-07-01,2022,EGYPT,"Hurghada, Red Sea Governorate",F,68,,True,,,Tigre,FATAL
2022-06-30,2022,USA,New York,M,,,False,13,Tarde,,Injury to right foot
2022-06-30,2022,USA,Florida,F,17,,False,15,Tarde,,Severe bites to leg
2022-06-29,2022,USA,Florida,F,35,,False,20,Noche,,Laceration to leg
2022-06-29,2022,USA,Florida,M,,,False,,,,Laceration to leg
2022-06-28,2022,SOUTH AFRICA,Western Cape Province,M,,,True,14,Tarde,,FATAL
2022-06-24,2022,JAMAICA,,M,,,False,,,Tigre,Right arm severed
2022-06-23,2022,USA,Florida,F,,,False,,,,Leg bitten
2022-06-22,2022,USA,California,M,62,,False,10,Mañana,Blanco,Stomach and leg injuries including a broken femur
2022-06-21,2022,USA,South Carolina,M,,,False,,,,
2022-06-01,2022,AUSTRALIA,Western Australia,F,,,False,12,Tarde,,Minor injury
2022-05-27,2022,AUSTRALIA,Western Australia,NAN,,,False,,,,Knocked off board by a  shark.   No injury
2022-05-20,2022,AUSTRALIA,Western Australia,M,20,,False,,,Toro,No Injury
2022-05-19,2022,BELIZE,Ambergris Cay,M,,,False,,,,Right hand and forearm bitten PROVOKED INCIDENT
2022-05-10,2022,MALDIVES,,M,62,,False,,,,Right cakf bitten when he fell overboard
2022-05-07,2022,FRENCH POLYNESIA,Bora Bora,NAN,,,False,,,,Hand bitten
2022-05-03,2022,USA,Georgia,M,,,False,19,Noche,,Thumb bitten by hooked shark PROVOKED INCIDENT
2022-05-01,2022,THAILAND,Phuket,M,8,,False,,,,Laceration to left calf
2022-04-30,2022,FRENCH POLYNESIA,Tahiti,M,22,,False,,,Tigre,Cut to knee
,2022,AUSTRALIA,,M,32,,False,,,,"No injury, knocked off board by shark chasing a turtle"
2022-04-17,2022,USA,Florida,M,56,,False,16,Tarde,,Laceration to lower leg
2022-04-12,2022,USA,Alabama,M,17,,False,,,,Bite to right foot
2022-04-11,2022,USA,Florida,M,,,False,16,Tarde,,Bite near big toe
2022-04-09,2022,USA,New Jersey,F,12,,False,,,,Finger nipped by captive shark PROVOKED INCIDENT
2022-04-07,2022,USA,Florida,M,,,False,10,Mañana,,No injury to occupants. Kayak bitten
2022-04-01,2022,SOUTH AFRICA,KZN,M,,,,,,,Possible drowing and scavenging
2022-03-31,2022,USA,Florida,M,,,False,,,,Knee bitten                    PROVOKED INCIDENT
2022-03-18,2022,COLUMBIA,Isla De San Andres,M,56,,True,,,Tigre,FATAL
2022-03-15,2022,NEW ZEALAND,South Island,M,,,False,,,,"No injury, shark leapt on surfboard"
2022-03-15,2022,AUSTRALIA,New South Wales,M,32,,False,15,Tarde,Toro,Lacerations and punctures to leg and foot
2022-03-15,2022,AUSTRALIA,New South Wales,M,,,False,16,Tarde,,
2022-03-13,2022,USA,Florida,M,20,,False,15,Tarde,,Bite to right foot
2022-03-09,2022,USA,Florida,M,21,,False,15,Tarde,,Minor injuries to knee and calf of left leg                            PROVOKED INCIDENT                 
2022-03-08,2022,AUSTRALIA,New South Wales,M,,,False,7,Mañana,,"No injury, board bitten"
2022-02-26,2022,USA,California,M,42,,True,11,Mañana,Blanco,FATAL
2022-02-21,2022,BAHAMAS,Grand  Bahama Island,M,51,,False,12,Tarde,,Arm bitten
2022-02-17,2022,AUSTRALIA,Queensland,M,,,False,,,Tigre,Lacerations to left thigh
2022-02-16,2022,AUSTRALIA,New South Wales,M,36,,True,16,Tarde,,FATAL
2022-02-12,2022,MEXICO,Sonora,M,56,,True,10,Mañana,,FATAL
2022-02-11,2022,USA,Florida,M,18,,False,17,Tarde,,Puncture wounds to foot
,2022,BAHAMAS,,F,37,,False,,,,Minor injury
2022-02-08,2022,COSTA RICA,Guanacoste,F,50,,,,,Toro,Right forearm and left hand injured
2022-02-05,2022,AUSTRALIA,Western Australia,F,20,,False,11,Mañana,Blanco,Torso bitten
2022-01-24,2022,AUSTRALIA,New South Wales,M,,,False,,,,Foot bitten
2022-01-22,2022,AUSTRALIA,Western Australia,M,,,False,,,,"Knees, ankles & feet bitten"
2022-01-09,2022,SOUTH AFRICA,KwaZulu-Natal,M,,,False,7,Mañana,,"PROVOKED INCIDENT               No injury to occupants, shark bit ski"
2022-01-09,2022,NEW ZEALAND,South Island,F,13,,False,16,Tarde,,Puncture wounds
2022-01-06,2022,USA,Florida,F,42,,False,14,Tarde,,Punctures to leg
2022-01-04,2022,AUSTRALIA,New South Wales,F,42,,False,6,Mañana,,Minor lacerations to lower thigh
2022-01-01,2022,AUSTRALIA,Western Australia,M,,,False,,,,"No injury, knocked off board"
